名称,大类,中类,经度,纬度,省份,地级市,lon,lat,name,区县,type,operator,ports,place_type
沃尔新能源汽车公共充电站,汽车相关,充电站,108.830654,34.160562,陕西省,西安市,108.830654,34.160562,沃尔新能源汽车公共充电站,西安市,汽车相关 充电站,其他,2,其他
云快充军平商店电站,汽车相关,充电站,108.752208,34.058662,陕西省,西安市,108.752208,34.058662,云快充军平商店电站,西安市,汽车相关 充电站,云快充,8,其他
云快充汽车公共充电站,汽车相关,充电站,108.750492,34.055987,陕西省,西安市,108.750492,34.055987,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,8,其他
汽车公共充电站,汽车相关,充电站,108.767481,34.060336,陕西省,西安市,108.767481,34.060336,汽车公共充电站,西安市,汽车相关 充电站,其他,7,其他
太平河公共充电站,汽车相关,充电站,108.767626,34.060368,陕西省,西安市,108.767626,34.060368,太平河公共充电站,西安市,汽车相关 充电站,其他,6,其他
特来电公共充电站,汽车相关,充电站,108.770819,34.045479,陕西省,西安市,108.770819,34.045479,特来电公共充电站,西安市,汽车相关 充电站,特来电,4,其他
云快充汽车公共充电站,汽车相关,充电站,108.762623,34.060284,陕西省,西安市,108.762623,34.060284,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,5,其他
兆丰公共充电站,汽车相关,充电站,108.804975,34.095638,陕西省,西安市,108.804975,34.095638,兆丰公共充电站,西安市,汽车相关 充电站,其他,7,其他
特来电公共充电站,汽车相关,充电站,108.787263,34.082914,陕西省,西安市,108.787263,34.082914,特来电公共充电站,西安市,汽车相关 充电站,特来电,4,其他
星星充电汽车公共充电站,汽车相关,充电站,108.803227,34.166497,陕西省,西安市,108.803227,34.166497,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,4,其他
